accesses,n,l,z,fixed_addr,initial_seed,pathmap_compact_every,pathmap_compact_protected_tail,run1_seed,run2_seed,run3_seed,run1_total_bucket_reads,run2_total_bucket_reads,run3_total_bucket_reads,random_vs_random_distance,random_vs_fixed_distance,elapsed_ms
10,256,8,4,10,542,10000,2000,563,564,565,90,90,90,0.5222222222,0.6333333333,64
100,256,8,4,10,542,10000,2000,743,744,745,900,900,900,0.2644444444,0.3511111111,271
1000,256,8,4,10,542,10000,2000,2543,2544,2545,9000,9000,9000,0.0968888889,0.1640000000,2318
10000,256,8,4,10,542,10000,2000,20543,20544,20545,90000,90000,90000,0.0298666667,0.1220000000,20149
