bucket,random_count,random_probability,biased_count,biased_probability,diff
1100001,7140,0.00649091,7111,0.00646455,-0.00002636
1100010,7168,0.00651636,6999,0.00636273,-0.00015364
1100011,6617,0.00601545,6633,0.00603000,0.00001455
1100100,7177,0.00652455,7113,0.00646636,-0.00005818
1100101,6561,0.00596455,6449,0.00586273,-0.00010182
1100110,6516,0.00592364,6519,0.00592636,0.00000273
1100111,4936,0.00448727,4922,0.00447455,-0.00001273
1101000,7037,0.00639727,7217,0.00656091,0.00016364
1101001,6437,0.00585182,6499,0.00590818,0.00005636
1101010,6522,0.00592909,6602,0.00600182,0.00007273
1101011,4891,0.00444636,5081,0.00461909,0.00017273
1101100,6589,0.00599000,6518,0.00592545,-0.00006455
1101101,4825,0.00438636,5057,0.00459727,0.00021091
1101110,5041,0.00458273,4944,0.00449455,-0.00008818
1101111,5259,0.00478091,5442,0.00494727,0.00016636
1110000,7141,0.00649182,7178,0.00652545,0.00003364
1110001,6558,0.00596182,6701,0.00609182,0.00013000
1110010,6568,0.00597091,6583,0.00598455,0.00001364
1110011,4865,0.00442273,5016,0.00456000,0.00013727
1110100,6608,0.00600727,6577,0.00597909,-0.00002818
1110101,4996,0.00454182,4984,0.00453091,-0.00001091
1110110,4891,0.00444636,5119,0.00465364,0.00020727
1110111,5243,0.00476636,5391,0.00490091,0.00013455
1111000,6454,0.00586727,6631,0.00602818,0.00016091
1111001,4807,0.00437000,5003,0.00454818,0.00017818
1111010,4849,0.00440818,5034,0.00457636,0.00016818
1111011,5113,0.00464818,5549,0.00504455,0.00039636
1111100,5069,0.00460818,4973,0.00452091,-0.00008727
1111101,5208,0.00473455,5430,0.00493636,0.00020182
1111110,5311,0.00482818,5333,0.00484818,0.00002000
1111111,3942,0.00358364,4224,0.00384000,0.00025636
